IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,20.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,7.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,MEX,Mexico,NBR,Number,,,55.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,,,53.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,,,3.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,,,6.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,NLD,Netherlands,NBR,Number,,,11.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,,,65.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,,,37.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,,,2.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,,,6.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,NZL,New Zealand,NBR,Number,,,2.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,89.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,73.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,5.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,5.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,7.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,17.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,5.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,5.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,NOR,Norway,NBR,Number,,,7.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,112.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,100.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,10.0,,
